,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
503,Mykonos,Down To Earth,,3.7,11,Down To Earth
504,Bon Parfumeur,"601 Vetiver, Cedar, Bergamot",,4.9,11,"601 Vetiver, Cedar, Bergamot"
505,Juicy Couture,Viva La Juicy Rose,,4.4,11,Viva La Juicy Rose
506,Layr Fragrance,Midnight Haze,,4.6,11,Midnight Haze
507,Salvatore Ferragamo,Signorina Ribelle,,4.8,10,Signorina Ribelle
508,Mykonos,Slow Living EDP,,4.5,10,Slow Living EDP
509,The Face Shop,Soul Secret Blossom,Floral,4.7,10,Soul Secret Blossom Floral
510,HINT,Mintea EDP,,4.5,10,Mintea EDP
511,Crown Parfumes,Al Rehab Sabaya,,5.0,10,Al Rehab Sabaya
512,BIES,Blossom Hills EDP,,4.4,10,Blossom Hills EDP
513,HMNS Perfume,ORGSM,Absolute ORGSM,4.8,10,ORGSM Absolute ORGSM
514,Salsa Cosmetic,Eau De Parfume,Dandelion,4.2,10,Eau De Parfume Dandelion
515,Oriflame,The One Disguise EDP,,4.6,10,The One Disguise EDP
516,Jeanne Arthes,Sultane Noir,,4.7,10,Sultane Noir
517,Hermes,24 Faubourg,,4.9,10,24 Faubourg
518,Yves Rocher,Comme Une Evidence L'Eau de Parfum,,4.6,10,Comme Une Evidence L'Eau de Parfum
519,The Body Tale,Juliette,,5.0,10,Juliette
520,Scarlett,Golden Elixir Extrait de Parfum,,4.8,10,Golden Elixir Extrait de Parfum
521,Evangeline,Eau De Perfume Zodiac Series,Aquarius,4.1,10,Eau De Perfume Zodiac Series Aquarius
522,Evangeline,Eau De Perfume Hijab Series,Hana,4.1,10,Eau De Perfume Hijab Series Hana
523,Tom Ford,Tobacco Vanille,Sweet,4.7,10,Tobacco Vanille Sweet
524,Jeanne Arthes,Amore Mio EDP,Original,4.3,10,Amore Mio EDP Original
525,Kenzo,Flower by Kenzo L'elixir,,4.6,10,Flower by Kenzo L'elixir
526,Oriflame,Volare Forever EDP for Women,,4.5,10,Volare Forever EDP for Women
527,Rahasia Beauty,Summerscent x Rahasia Beauty,Violet Vibes,4.7,10,Summerscent x Rahasia Beauty Violet Vibes
528,Unke Naru,Eau De Parfum,For You,4.6,10,Eau De Parfum For You
529,Yves Saint Laurent,Manifesto Eau de Perfume,,4.0,10,Manifesto Eau de Perfume
530,BYREDO,Gypsy Water EDP,,3.8,10,Gypsy Water EDP
531,ZARA,Red Temptation EDP,,4.7,10,Red Temptation EDP
532,Bali Surfer's Perfume,Blue Point for Her,,3.9,10,Blue Point for Her
533,Evangeline,Selection Eau De Parfum,Mango Temptation,4.0,10,Selection Eau De Parfum Mango Temptation
534,Evangeline,Selection Eau De Parfum,Juicy Pear,4.6,10,Selection Eau De Parfum Juicy Pear
535,Ready Set Perfumery,Signature Collection EDP,Windrises,4.0,10,Signature Collection EDP Windrises
536,Layr Fragrance,Extrait De Parfum,Kyoto Jazz,4.6,10,Extrait De Parfum Kyoto Jazz
537,Skinouru,Eau de Parfum,Warm Whiskey,4.6,10,Eau de Parfum Warm Whiskey
538,BIES,Blossom Orchid EDP,,4.4,10,Blossom Orchid EDP
539,Gucci,Memoire D'une Odeur,,4.6,10,Memoire D'une Odeur
540,Teratu Beauty,Body & the Scents of Teratu Beauty EDP,H.E.R.S,4.8,10,Body & the Scents of Teratu Beauty EDP H.E.R.S
541,Carolina Herrera,212 VIP,sweet vanilla rum tropical fruity,4.5,10,212 VIP sweet vanilla rum tropical fruity
542,Jessica Simpson,Fancy,Vanilla,4.8,10,Fancy Vanilla
543,Salvatore Ferragamo,Amo Ferragamo,"Blackcurrant, Rosemary, White Vanilla",4.0,10,"Amo Ferragamo Blackcurrant, Rosemary, White Vanilla"
544,Princesse Marina De Bourbon,Golden Dynastie Marina De Bourbon,"floral, wood, green, rose",5.0,10,"Golden Dynastie Marina De Bourbon floral, wood, green, rose"
545,Madame Gie,Fragrantics Parfume Unisex,Percy,4.4,10,Fragrantics Parfume Unisex Percy
546,HINT,Leather EDP,,4.1,10,Leather EDP
547,Project 1945,Waters of Maluku EDP,,4.5,10,Waters of Maluku EDP
548,Thierry Mugler,Angel,,4.1,10,Angel
549,The Body Shop,Widdringtonia Eau De Parfume,,4.6,9,Widdringtonia Eau De Parfume
550,Dolce & Gabbana,Dolce,,4.7,9,Dolce
551,Bon Parfumeur,"401 Cedar, Candied Plum, Vanilla",,5.0,9,"401 Cedar, Candied Plum, Vanilla"
552,Valentino,Donna,,4.8,9,Donna
553,ARMAF,Club de Nuit for Women,floral fruity,4.2,9,Club de Nuit for Women floral fruity
554,Salsa Cosmetic,Eau De Parfume Sweet Magnolia,,4.0,9,Eau De Parfume Sweet Magnolia
555,ZARA,Energetically New York,,4.1,9,Energetically New York
556,Pucelle,Eau De Luxe Parfum,The Sigma,4.3,9,Eau De Luxe Parfum The Sigma
557,BRASOV,Signature,01 Garret,4.7,9,Signature 01 Garret
558,BYREDO,Flowerhead EDP,,4.7,9,Flowerhead EDP
559,Victoria's Secret,Wicked EDP,,4.9,9,Wicked EDP
560,Giorgio Armani,Sì Intense Eau de Parfum,,4.6,9,Sì Intense Eau de Parfum
561,Pinkberry,Angel EDP,Angel Blue,4.7,9,Angel EDP Angel Blue
562,Avicenna,Sunshine,,4.1,9,Sunshine
563,ZARA,Cashmere Rose Eau De Parfum,,4.1,9,Cashmere Rose Eau De Parfum
564,ZARA,Ebony Wood,,4.7,9,Ebony Wood
565,The Body Tale,Teamomile,,4.2,9,Teamomile
566,HMNS Perfume,Unpatched,,4.8,9,Unpatched
567,Bonavie,Poudre Et Plume EDP,,4.3,9,Poudre Et Plume EDP
