,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
327,Project 1945,Bamboe Roencing EDP,,4.8,18,Bamboe Roencing EDP
328,Dior,Louis Vuitton Les Sable Rose,,4.5,18,Louis Vuitton Les Sable Rose
329,Evangeline,Eau De Perfume Sakura Series,Violet Sakura,4.0,18,Eau De Perfume Sakura Series Violet Sakura
330,Narciso Rodriguez,For Her,Fleur Musc,4.72,18,For Her Fleur Musc
331,Dior,Absolutely Blooming,Edp,4.4,18,Absolutely Blooming Edp
332,Teratu Beauty,Executives Eau de Parfum,,4.5,18,Executives Eau de Parfum
333,Bon Parfumeur,"003 Yuzu, Violet Leaves, Vetiver",,4.3,18,"003 Yuzu, Violet Leaves, Vetiver"
334,Mykonos,Jynx EDP,,4.4,17,Jynx EDP
335,Layr Fragrance,Extrait De Parfum,Slow Dance,4.4,17,Extrait De Parfum Slow Dance
336,Oullu,Zephyr Eau de Perfume,,4.1,17,Zephyr Eau de Perfume
337,Kenzo,Amour,Floral,4.3,17,Amour Floral
338,Mykonos,Pistachio Cream Cake EDP,,2.8,17,Pistachio Cream Cake EDP
339,BYREDO,Rose of No Man's Land Eau de Parfum,,4.5,17,Rose of No Man's Land Eau de Parfum
340,HINT,Metaverse EDP,,4.5,17,Metaverse EDP
341,Chloe,Nomade Eau de Parfum,,4.6,17,Nomade Eau de Parfum
342,The Body Shop,Bowhanti Eau De Parfum,Spicy Woods,4.5,17,Bowhanti Eau De Parfum Spicy Woods
343,LA RIVE,Miss Dream,,4.5,17,Miss Dream
344,BYREDO,Bal D'Afrique EDP,,4.2,17,Bal D'Afrique EDP
345,Chanel,Bleu de Chanel Eau de Parfum,,4.5,17,Bleu de Chanel Eau de Parfum
346,Buttonscarves Beauty,Eau de Parfume,Bora - Bora,4.6,17,Eau de Parfume Bora - Bora
347,Stella McCartney,Stella Eau de Parfum,,4.1,16,Stella Eau de Parfum
348,Avicenna,Miracle,,4.13,16,Miracle
349,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait,Baccarat Rouge 540 Extrait,4.3,16,Baccarat Rouge 540 Extrait Baccarat Rouge 540 Extrait
350,Pinkberry,Emily in Paris Espoir,,4.6,16,Emily in Paris Espoir
351,Mykonos,Zora EDP,,4.3,16,Zora EDP
352,Oullu,Deep Dive Eau de Perfume,,4.3,16,Deep Dive Eau de Perfume
353,Versace,Versace Pour Femme Dylan Blue,Eau de Parfume,4.2,16,Versace Pour Femme Dylan Blue Eau de Parfume
354,Guerlain,mon guerlain,,4.5,16,mon guerlain
355,Le Labo,Another 13 EDP,Another 13,4.5,16,Another 13 EDP Another 13
356,Jeanne Arthes,PRIVATE ROOM,Warm Sandalwood Vanilla,4.1,16,PRIVATE ROOM Warm Sandalwood Vanilla
357,Giorgio Armani,Si Passione Eau de Parfum,,4.63,16,Si Passione Eau de Parfum
358,Oullu,Bird Song Eau de Perfume,,4.1,16,Bird Song Eau de Perfume
359,Mykonos,When In Paris EDP,,4.0,16,When In Paris EDP
360,HMNS Perfume,Addict,,4.1,16,Addict
